"","state","date","stayathome","Start.Date","End.Date"
"1","Alabama",2020-03-04,0,"2020-04-04","2020-04-30"
"2","Alabama",2020-03-11,0,"2020-04-04","2020-04-30"
"3","Alabama",2020-03-18,0,"2020-04-04","2020-04-30"
"4","Alabama",2020-03-25,0,"2020-04-04","2020-04-30"
"5","Alabama",2020-04-01,1,"2020-04-04","2020-04-30"
"6","Alabama",2020-04-08,1,"2020-04-04","2020-04-30"
"7","Alabama",2020-04-15,1,"2020-04-04","2020-04-30"
"8","Alabama",2020-04-22,1,"2020-04-04","2020-04-30"
"9","Alabama",2020-04-29,0,"2020-04-04","2020-04-30"
"10","Alabama",2020-05-06,0,"2020-04-04","2020-04-30"
"11","Alabama",2020-05-13,0,"2020-04-04","2020-04-30"
"12","Alabama",2020-05-20,0,"2020-04-04","2020-04-30"
"13","Alabama",2020-05-27,0,"2020-04-04","2020-04-30"
"14","Alabama",2020-06-03,0,"2020-04-04","2020-04-30"
"15","Alabama",2020-06-10,0,"2020-04-04","2020-04-30"
"16","Alabama",2020-06-17,0,"2020-04-04","2020-04-30"
"17","Alabama",2020-06-24,0,"2020-04-04","2020-04-30"
"18","Alabama",2020-07-01,0,"2020-04-04","2020-04-30"
"19","Alabama",2020-07-08,0,"2020-04-04","2020-04-30"
"20","Alaska",2020-03-04,0,"2020-03-28","2020-04-24"
"21","Alaska",2020-03-11,0,"2020-03-28","2020-04-24"
"22","Alaska",2020-03-18,0,"2020-03-28","2020-04-24"
"23","Alaska",2020-03-25,1,"2020-03-28","2020-04-24"
"24","Alaska",2020-04-01,1,"2020-03-28","2020-04-24"
"25","Alaska",2020-04-08,1,"2020-03-28","2020-04-24"
"26","Alaska",2020-04-15,1,"2020-03-28","2020-04-24"
"27","Alaska",2020-04-22,0,"2020-03-28","2020-04-24"
"28","Alaska",2020-04-29,0,"2020-03-28","2020-04-24"
"29","Alaska",2020-05-06,0,"2020-03-28","2020-04-24"
"30","Alaska",2020-05-13,0,"2020-03-28","2020-04-24"
"31","Alaska",2020-05-20,0,"2020-03-28","2020-04-24"
"32","Alaska",2020-05-27,0,"2020-03-28","2020-04-24"
"33","Alaska",2020-06-03,0,"2020-03-28","2020-04-24"
"34","Alaska",2020-06-10,0,"2020-03-28","2020-04-24"
"35","Alaska",2020-06-17,0,"2020-03-28","2020-04-24"
"36","Alaska",2020-06-24,0,"2020-03-28","2020-04-24"
"37","Alaska",2020-07-01,0,"2020-03-28","2020-04-24"
"38","Alaska",2020-07-08,0,"2020-03-28","2020-04-24"
"39","Arizona",2020-03-04,0,"2020-03-31","2020-05-15"
"40","Arizona",2020-03-11,0,"2020-03-31","2020-05-15"
"41","Arizona",2020-03-18,0,"2020-03-31","2020-05-15"
"42","Arizona",2020-03-25,0,"2020-03-31","2020-05-15"
"43","Arizona",2020-04-01,1,"2020-03-31","2020-05-15"
"44","Arizona",2020-04-08,1,"2020-03-31","2020-05-15"
"45","Arizona",2020-04-15,1,"2020-03-31","2020-05-15"
"46","Arizona",2020-04-22,1,"2020-03-31","2020-05-15"
"47","Arizona",2020-04-29,1,"2020-03-31","2020-05-15"
"48","Arizona",2020-05-06,1,"2020-03-31","2020-05-15"
"49","Arizona",2020-05-13,0,"2020-03-31","2020-05-15"
"50","Arizona",2020-05-20,0,"2020-03-31","2020-05-15"
"51","Arizona",2020-05-27,0,"2020-03-31","2020-05-15"
"52","Arizona",2020-06-03,0,"2020-03-31","2020-05-15"
"53","Arizona",2020-06-10,0,"2020-03-31","2020-05-15"
"54","Arizona",2020-06-17,0,"2020-03-31","2020-05-15"
"55","Arizona",2020-06-24,0,"2020-03-31","2020-05-15"
"56","Arizona",2020-07-01,0,"2020-03-31","2020-05-15"
"57","Arizona",2020-07-08,0,"2020-03-31","2020-05-15"
"58","Arkansas",2020-03-04,0,NA,NA
"59","Arkansas",2020-03-11,0,NA,NA
"60","Arkansas",2020-03-18,0,NA,NA
"61","Arkansas",2020-03-25,0,NA,NA
"62","Arkansas",2020-04-01,0,NA,NA
"63","Arkansas",2020-04-08,0,NA,NA
"64","Arkansas",2020-04-15,0,NA,NA
"65","Arkansas",2020-04-22,0,NA,NA
"66","Arkansas",2020-04-29,0,NA,NA
"67","Arkansas",2020-05-06,0,NA,NA
"68","Arkansas",2020-05-13,0,NA,NA
"69","Arkansas",2020-05-20,0,NA,NA
"70","Arkansas",2020-05-27,0,NA,NA
"71","Arkansas",2020-06-03,0,NA,NA
"72","Arkansas",2020-06-10,0,NA,NA
"73","Arkansas",2020-06-17,0,NA,NA
"74","Arkansas",2020-06-24,0,NA,NA
"75","Arkansas",2020-07-01,0,NA,NA
"76","Arkansas",2020-07-08,0,NA,NA
"77","California",2020-03-04,0,"2020-03-19","2020-06-01"
"78","California",2020-03-11,0,"2020-03-19","2020-06-01"
"79","California",2020-03-18,1,"2020-03-19","2020-06-01"
"80","California",2020-03-25,1,"2020-03-19","2020-06-01"
"81","California",2020-04-01,1,"2020-03-19","2020-06-01"
"82","California",2020-04-08,1,"2020-03-19","2020-06-01"
"83","California",2020-04-15,1,"2020-03-19","2020-06-01"
"84","California",2020-04-22,1,"2020-03-19","2020-06-01"
"85","California",2020-04-29,1,"2020-03-19","2020-06-01"
"86","California",2020-05-06,1,"2020-03-19","2020-06-01"
"87","California",2020-05-13,1,"2020-03-19","2020-06-01"
"88","California",2020-05-20,1,"2020-03-19","2020-06-01"
"89","California",2020-05-27,1,"2020-03-19","2020-06-01"
"90","California",2020-06-03,0,"2020-03-19","2020-06-01"
"91","California",2020-06-10,0,"2020-03-19","2020-06-01"
"92","California",2020-06-17,0,"2020-03-19","2020-06-01"
"93","California",2020-06-24,0,"2020-03-19","2020-06-01"
"94","California",2020-07-01,0,"2020-03-19","2020-06-01"
"95","California",2020-07-08,0,"2020-03-19","2020-06-01"
"96","Colorado",2020-03-04,0,"2020-03-26","2020-04-26"
"97","Colorado",2020-03-11,0,"2020-03-26","2020-04-26"
"98","Colorado",2020-03-18,0,"2020-03-26","2020-04-26"
"99","Colorado",2020-03-25,1,"2020-03-26","2020-04-26"
"100","Colorado",2020-04-01,1,"2020-03-26","2020-04-26"
"101","Colorado",2020-04-08,1,"2020-03-26","2020-04-26"
"102","Colorado",2020-04-15,1,"2020-03-26","2020-04-26"
"103","Colorado",2020-04-22,1,"2020-03-26","2020-04-26"
"104","Colorado",2020-04-29,0,"2020-03-26","2020-04-26"
"105","Colorado",2020-05-06,0,"2020-03-26","2020-04-26"
"106","Colorado",2020-05-13,0,"2020-03-26","2020-04-26"
"107","Colorado",2020-05-20,0,"2020-03-26","2020-04-26"
"108","Colorado",2020-05-27,0,"2020-03-26","2020-04-26"
"109","Colorado",2020-06-03,0,"2020-03-26","2020-04-26"
"110","Colorado",2020-06-10,0,"2020-03-26","2020-04-26"
"111","Colorado",2020-06-17,0,"2020-03-26","2020-04-26"
"112","Colorado",2020-06-24,0,"2020-03-26","2020-04-26"
"113","Colorado",2020-07-01,0,"2020-03-26","2020-04-26"
"114","Colorado",2020-07-08,0,"2020-03-26","2020-04-26"
"115","Connecticut",2020-03-04,0,"2020-03-23","2020-05-20"
"116","Connecticut",2020-03-11,0,"2020-03-23","2020-05-20"
"117","Connecticut",2020-03-18,0,"2020-03-23","2020-05-20"
"118","Connecticut",2020-03-25,1,"2020-03-23","2020-05-20"
"119","Connecticut",2020-04-01,1,"2020-03-23","2020-05-20"
"120","Connecticut",2020-04-08,1,"2020-03-23","2020-05-20"
"121","Connecticut",2020-04-15,1,"2020-03-23","2020-05-20"
"122","Connecticut",2020-04-22,1,"2020-03-23","2020-05-20"
"123","Connecticut",2020-04-29,1,"2020-03-23","2020-05-20"
"124","Connecticut",2020-05-06,1,"2020-03-23","2020-05-20"
"125","Connecticut",2020-05-13,1,"2020-03-23","2020-05-20"
"126","Connecticut",2020-05-20,0,"2020-03-23","2020-05-20"
"127","Connecticut",2020-05-27,0,"2020-03-23","2020-05-20"
"128","Connecticut",2020-06-03,0,"2020-03-23","2020-05-20"
"129","Connecticut",2020-06-10,0,"2020-03-23","2020-05-20"
"130","Connecticut",2020-06-17,0,"2020-03-23","2020-05-20"
"131","Connecticut",2020-06-24,0,"2020-03-23","2020-05-20"
"132","Connecticut",2020-07-01,0,"2020-03-23","2020-05-20"
"133","Connecticut",2020-07-08,0,"2020-03-23","2020-05-20"
"134","Delaware",2020-03-04,0,"2020-03-24","2020-05-31"
"135","Delaware",2020-03-11,0,"2020-03-24","2020-05-31"
