"","FIPS","summer_tmmx","summer_rmax","winter_tmmx","winter_rmax","state","Countynames","State_abbrev","young_perc","median_perc","old_perc","lowerthan_HS","with_HS","with_BS","Bachelor_orhigher_perc","poverty_perc","Median_HH_income","population","Black.perc","Hispanic.or.Latino.perc","area","density","q_popdensity","q_poverty","smoke_perc","obese_perc","inactive_perc","diabetes_perc","temp"
"1",1001,93.01853937,97.46153544,61.33559842,86.49314281,"Alabama","Autauga ","AL",0.191885038,0.134359094,0.077813349,0.113,0.326,0.284,0.277,0.138,59338,111202,0.206,0.03,595.97,186.589929,4,2,0.333,0.180815572,0.347,0.111,77.177068895
"2",1003,89.67087895,98.56998822,64.12382188,87.72376285,"Alabama","Baldwin ","AL",0.141910632,0.114348761,0.08478571,0.097,0.276,0.313,0.313,0.098,57588,436044,0.097,0.046,1596.35,273.1506249,4,1,0.31,0.174890326,0.265,0.107,76.897350415
"3",1005,92.65556843,98.47574525,63.47640814,87.35207323,"Alabama","Barbour ","AL",0.113120533,0.077723585,0.058334943,0.27,0.357,0.251,0.122,0.309,34382,49762,0.493,0.043,884.9,56.23460278,2,3,0.417,0.219999845,0.235,0.176,78.065988285
"4",1007,91.90367663,96.2031766,60.54148708,84.99507895,"Alabama","Bibb ","AL",0.025220092,0.017311035,0.01051312,0.168,0.473,0.244,0.115,0.218,46064,44800,0.219,0.026,623.03,71.90664976,3,3,0.376,0.191141999,0.335,0.145,76.222581855
"5",1009,90.67687411,95.23037594,56.89944835,84.71012874,"Alabama","Blount ","AL",0.055095698,0.040826898,0.027876885,0.198,0.34,0.335,0.126,0.132,50412,115680,0.022,0.096,645.59,179.1849316,4,2,0.338,0.19208672,0.303,0.17,73.78816123
"6",1011,92.11170928,97.99387851,62.70144155,87.4710516,"Alabama","Bullock ","AL",0.196784376,0.132570527,0.081919511,0.248,0.397,0.223,0.133,0.425,29267,20276,0.714,0.08,625.01,32.44108094,2,3,0.372,0.22894664,0.246,0.237,77.406575415
"7",1013,92.39790569,97.08961056,63.48404323,87.69845719,"Alabama","Butler ","AL",0.00471745,0.003480242,0.002718726,0.154,0.439,0.246,0.161,0.245,37365,39360,0.456,0.015,776.87,50.6648474,2,3,0.433,0.21765335,0.395,0.192,77.94097446
"8",1015,91.40284789,95.69446075,57.88739288,85.10584598,"Alabama","Calhoun ","AL",0.062608711,0.043572103,0.02915318,0.159,0.324,0.337,0.18,0.195,45400,228554,0.222,0.039,608.46,375.6269927,5,3,0.385,0.206125604,0.317,0.175,74.645120385
"9",1017,92.15811434,97.17049253,61.02149883,85.08328369,"Alabama","Chambers ","AL",0.078211887,0.061516518,0.043131893,0.186,0.384,0.297,0.132,0.187,39917,67230,0.408,0.026,597.17,112.5810071,3,3,0.401,0.193929271,0.301,0.199,76.589806585
"10",1019,92.08797835,96.24014222,56.57140693,86.45644533,"Alabama","Cherokee ","AL",0.008355327,0.007717087,0.006001064,0.198,0.383,0.29,0.129,0.163,42132,52064,0.05,0.016,553.12,94.12785652,3,2,0.35,0.174986738,0.313,0.152,74.32969264
"11",1021,91.83462367,96.19793367,60.35449821,85.14918195,"Alabama","Chilton ","AL",0.185966978,0.132459856,0.083924082,0.178,0.441,0.24,0.142,0.173,47547,88306,0.111,0.079,693.98,127.245742,4,3,0.377,0.201889791,0.332,0.186,76.09456094
"12",1023,92.83651663,97.68355684,63.19081158,87.36318,"Alabama","Choctaw ","AL",0.057688546,0.051624892,0.041257999,0.186,0.382,0.302,0.13,0.221,39907,25682,0.421,0.01,913.51,28.11354008,2,3,0.413,0.187932483,0.362,0.174,78.013664105
"13",1025,91.6805501,98.82671285,63.59436667,87.36397106,"Alabama","Clarke ","AL",0.022072851,0.017214361,0.012455451,0.188,0.437,0.249,0.126,0.228,40741,47840,0.452,0.014,1238.38,38.63111484,2,3,0.341,0.205796553,0.346,0.224,77.637458385
"14",1027,90.45390786,97.32305096,58.27944541,86.48501736,"Alabama","Clay ","AL",0.003149678,0.002649431,0.001914019,0.245,0.363,0.291,0.102,0.176,39201,26550,0.152,0.03,605.07,43.87922059,2,3,0.406,0.196203542,0.326,0.135,74.366676635
"15",1029,90.76987115,97.51441899,58.05929938,85.79110645,"Alabama","Cleburne ","AL",0.064627553,0.051211454,0.036481278,0.226,0.396,0.241,0.137,0.16,46495,29974,0.036,0.025,560.21,53.50493565,2,2,0.373,0.183744658,0.313,0.125,74.414585265
"16",1031,91.07303301,98.31060899,63.58086552,86.60800187,"Alabama","Coffee ","AL",0.064936099,0.044568088,0.029200011,0.138,0.279,0.349,0.234,0.138,55122,103818,0.19,0.076,678.99,152.9006318,4,2,0.342,0.174447576,0.308,0.161,77.326949265
"17",1033,90.59764411,95.63026769,55.47184971,86.06235501,"Alabama","Colbert ","AL",0.177951864,0.136143676,0.099649392,0.156,0.36,0.297,0.187,0.138,49055,109524,0.172,0.027,594.53,184.2194675,4,2,0.306,0.186588211,0.366,0.162,73.03474691
"18",1035,91.21562354,98.47223655,63.36681692,87.87095923,"Alabama","Conecuh ","AL",0.163598599,0.138673943,0.112486764,0.192,0.488,0.213,0.107,0.244,32613,24554,0.47,0.022,850.79,28.86023578,2,3,0.43,0.21107513,0.407,0.259,77.29122023
"19",1037,92.29592532,95.57536301,60.22724978,86.44817198,"Alabama","Coosa ","AL",0.153756416,0.162949137,0.115772282,0.204,0.386,0.295,0.116,0.189,42423,21430,0.314,0.025,652.44,32.84593219,2,3,0.403,0.203999656,0.353,0.208,76.26158755
"20",1039,91.90486386,98.52597794,64.62494975,87.2626806,"Alabama","Covington ","AL",0.110469385,0.090689303,0.069754115,0.171,0.354,0.325,0.149,0.199,40203,73972,0.135,0.017,1033.82,71.55210772,3,3,0.317,0.192494515,0.355,0.153,78.264906805
"21",1041,91.83662437,97.63359276,63.39890663,87.27656076,"Alabama","Crenshaw ","AL",0.174804688,0.136212384,0.095088252,0.216,0.388,0.24,0.156,0.195,39057,27648,0.247,0.023,609.58,45.35581876,2,3,0.38,0.186469296,0.335,0.182,77.6177655
"22",1043,90.63618539,96.26481334,56.56491674,86.90132318,"Alabama","Cullman ","AL",0.182330241,0.132259534,0.092555308,0.182,0.356,0.324,0.137,0.145,45796,166884,0.018,0.044,738.43,225.998402,4,2,0.369,0.179010712,0.367,0.193,73.600551065
"23",1045,91.64494339,97.83611208,64.15292453,85.44621345,"Alabama","Dale ","AL",0.193980309,0.125857913,0.0844636,0.142,0.327,0.361,0.17,0.162,45309,97912,0.224,0.066,561.07,174.5094195,4,2,0.372,0.200573949,0.32,0.158,77.89893396
"24",1047,92.38563155,97.8347701,61.4767051,87.31075224,"Alabama","Dallas ","AL",0.002462184,0.001824059,0.001240231,0.193,0.352,0.304,0.151,0.314,34035,76620,0.71,0.011,980.71,78.1270712,3,3,0.431,0.24088991,0.269,0.159,76.931168325
"25",1049,89.30349657,98.14906531,54.03433448,88.09899171,"Alabama","DeKalb ","AL",0.012955321,0.009325153,0.006111618,0.259,0.333,0.281,0.127,0.213,39491,142770,0.024,0.148,777.91,183.5302284,4,3,0.292,0.210282708,0.317,0.128,71.668915525
"26",1051,92.51785155,96.24867051,61.64228165,85.7561948,"Alabama","Elmore ","AL",0.149098455,0.10097026,0.056804647,0.136,0.328,0.29,0.245,0.112,60367,163774,0.223,0.03,621.26,263.6158774,4,1,0.343,0.174525019,0.264,0.158,77.0800666
"27",1053,90.76668422,98.93030191,63.82910294,87.92776481,"Alabama","Escambia ","AL",0.019536905,0.013592803,0.009361818,0.185,0.445,0.244,0.127,0.236,38418,73496,0.327,0.025,947.38,77.57816293,3,3,0.394,0.224125846,0.324,0.188,77.29789358
"28",1055,91.13237527,94.9631774,56.53580836,85.2576949,"Alabama","Etowah ","AL",0.18120311,0.136140135,0.095057609,0.155,0.329,0.339,0.177,0.175,44903,205002,0.166,0.04,534.82,383.3102726,5,3,0.355,0.201473986,0.341,0.157,73.834091815
"29",1057,92.43493306,97.44417838,58.39987608,87.78213822,"Alabama","Fayette ","AL",0.003556993,0.002857685,0.002209281,0.176,0.415,0.279,0.129,0.235,39254,32866,0.129,0.018,627.66,52.36274416,2,3,0.41,0.180015933,0.337,0.233,75.41740457
